Response_ID,Area,Nivel_educ_en_3,Q2,Q3,Q4,Q5,Q6,Q6_O,Q10,Q12,Q13,Q14,Q15,Q17,Q18,Q18_O,Q19R1,Q19R2,Q19R3,Q20,Q20_O,Q21,Q22,Q23,Q23D,Q24,Q24_O,Q25,Q26,Q27,Q27_O,Q28,Q29,Q30,Q31R1,Q31R2,Q31R3,Q31R4,Q31R5,Q31R6,Q31R7,Q32,Q33,Q34,Q35,Q36,Q37,Q38R1,Q38R2,Q38R3,Q38R4,Q39R1,Q39R2,Q39R3,Q39R4,Q41R1,Q41R2,Q41R3,Q41R4,Q41R5,Q41R6,Q41R7,Q42,Q42_O,Q43,Q44R1,Q44R2,Q44R3,Q45,Q46,Q47,Q48,Q48_O,Q49,Q49_O,Q50,Q51,Q52,Q54,Q55,Q56A1,Q56A2,Q56A3,Q56A4,Q56A5,Q56_O,Q57,Q58,Q59,Q61,Q62,Q63,Q64,Q65,Q65_O,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q76,Q77R1,Q77R2,Q77R3,Q78R1,Q78R2,Q78R3,Q78R4,Q80
148199987,3,2,40,2,2,9,2,Punta del este,6,1,-1,1,1,1,2,-1,1,2,2,5,abitab y presencial,no sabía que se podía hacer por internet,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,2,2,2,2,1,2,1,-1,1,4,2,-1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,2,2,2,2,1,1,3,1,-1,-1,-1,1,3,3,1,2,1,1,-1,-1,-1,-1,1,1,1,3,2,-1,-1,-1,-1,-1,-1,3,1,1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,1
148256127,3,2,15,2,2,8,2,jose pedro varela,6,1,-1,1,1,1,4,-1,1,2,2,5,abitab y presencial,no le da confianza,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,2,2,2,2,1,2,1,-1,1,3,1,4,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,-1,-1,1,2,2,1,1,1,1,1,-1,-1,-1,1,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,3,2,1,2,2,-1,-1,-1,-1,-1,2,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
147678184,3,2,14,2,2,3,2,-1,4,1,-1,1,2,1,4,-1,1,2,1,5,"INICIO EL TRAMITE VIA WEB, LUEGO CONCURRIO PRESENCIAL Y LO FINALIZO POR LLAMADA","LO INICIO POR INTERNET, LUEGO FUE PRESENCIAL Y POR ULTIMO LA LLAMARON PARA FINALIZAR EL TRAMITE",1,1,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,1,2,2,1,1,1,2,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,4,4,2,1,-1,-1,-1,-1,-1,-1,2,1,1,1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,1
147612244,1,2,36,2,2,3,3,-1,5,1,-1,1,1,1,2,-1,1,1,1,5,"comienzo internet, siguio por telefono y lo terminó presencial",inició web,2,1,-1,2,-1,1,1,2,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,2,1,2,2,2,1,2,-1,-1,1,1,1,1,1,1,1,2,-1,1,-1,1,3,3,1,1,1,1,1,-1,-1,-1,4,4,4,2,1,-1,-1,-1,-1,-1,-1,2,1,1,1,-1,2,1,2,1,2,4,3,3,4,1
147734064,1,2,38,2,1,10,-1,-1,6,2,1,1,2,1,4,-1,1,2,2,4,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,-1,1,4,2,-1,2,2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,4,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,1,2,2,1,-1,-1,-1,-1,1
148451141,3,1,23,2,1,3,2,-1,2,1,-1,1,2,1,4,-1,1,1,2,3,-1,tuvo que ir personalmente,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,2,1,2,2,-1,1,4,3,-1,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,-1,-1,1,2,2,2,2,2,4,-1,-1,-1,-1,-1,-1,1,1,2,-1,1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,-1,-1,-1,-1,2,3,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,1
148354183,2,2,17,2,1,18,1,-1,6,1,-1,1,1,1,2,-1,1,1,1,3,-1,renovó un contrato con celular,1,7,-1,2,-1,2,1,2,-1,2,1,1,1,2,2,1,2,1,1,2,-1,2,-1,2,-1,1,2,2,1,2,2,3,1,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,1,3,1,-1,-1,-1,1,2,1,1,1,-1,1,-1,-1,-1,-1,1,4,3,2,2,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1
148061592,3,2,53,3,2,9,2,-1,6,1,-1,1,1,1,1,-1,1,1,1,3,-1,prefiere la atención personalizada,2,9,[Otro]BROU,3,-1,1,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,-1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,2,3,1,-1,-1,-1,1,4,3,2,1,1,1,-1,-1,-1,-1,1,3,3,3,1,-1,-1,-1,-1,-1,-1,3,1,1,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,1
148079455,1,1,43,2,2,3,3,-1,3,1,-1,1,1,1,6,"presencial, telefonico o virtual depende de la situacion",1,2,2,3,-1,porque ya sabia donde estaba el expediente y le quedaba mas comodo de esta forma,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,2,2,2,1,-1,1,2,2,-1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,4,no podia acceder a la cuenta,2,1,2,2,1,2,4,1,-1,-1,-1,1,5,4,2,2,-1,-1,-1,-1,-1,-1,-1,1,2,3,2,-1,-1,-1,-1,-1,-1,4,3,3,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,1
147693917,3,2,11,1,2,4,2,´CARMELO,4,1,-1,1,2,1,2,-1,1,2,1,3,-1,PORQUE TENIA QUE PRESENTARME EN PERSONA PARA IRMAR,1,1,-1,2,-1,1,1,2,-1,1,1,3,2,2,1,2,2,2,2,1,2,2,-1,1,2,1,1,3,2,1,2,2,2,2,1,2,2,1,2,2,-1,-1,1,2,2,2,2,1,2,-1,-1,-1,-1,-1,-1,3,1,2,-1,1,-1,-1,-1,-1,2,1,4,3,2,-1,-1,-1,-1,-1,-1,2,1,1,1,-1,2,1,1,2,2,-1,-1,-1,-1,1
148077956,3,1,13,1,2,19,2,Vergara,3,1,-1,1,2,1,1,-1,1,2,1,3,-1,Porque tenía que pedir facturas y no tenía como sacarlas,2,5,-1,5,Llamada telefónica,2,1,3,-1,2,1,1,2,2,2,2,2,1,1,1,2,2,-1,2,-1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,-1,-1,2,2,2,1,2,1,3,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,2,2,3,2,-1,-1,-1,-1,-1,-1,3,3,1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,1
148244642,1,2,39,2,1,10,-1,-1,6,1,-1,1,2,3,1,-1,1,1,2,3,-1,"PORQUE TENIA QUE HACERLO SI O SI PRESENCIALMENTE, NO SE PODIA HACER POR OTRA VIA",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,-1,1,4,2,-1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,1,2,2,2,1,2,2,-1,-1,-1,-1,-1,-1,3,1,1,-1,1,-1,-1,-1,-1,3,1,1,1,1,1,2,1,-1,1,2,3,1,3,1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1
147725121,2,3,54,3,2,4,1,-1,8,1,-1,1,1,1,2,-1,1,2,1,3,-1,PORQUE TENIA LA COMPUTADORA ROTA Y EL CEL NO LE ANDABA BIEN,1,2,-1,5,POR EMIAL,1,1,2,-1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,-1,2,1,2,1,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,2,2,2,1,1,2,3,1,-1,-1,-1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,3,4,2,1,-1,-1,-1,-1,-1,-1,5,1,1,2,2,5,2,-1,-1,-1,-1,-1,-1,-1,2
147639025,1,2,30,2,1,3,3,-1,5,1,-1,1,1,1,2,-1,1,1,1,3,-1,porque se lo recomendaron así cuando llamó por teléfono,1,2,-1,2,-1,2,1,1,-1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,1,2,1,-1,-1,-1,1,2,2,1,1,1,1,-1,-1,-1,-1,1,3,3,3,2,-1,-1,-1,-1,-1,-1,2,3,1,1,-1,2,1,1,2,2,-1,-1,-1,-1,1
148243500,1,2,4,1,1,10,-1,-1,5,1,-1,1,2,1,2,-1,1,1,2,3,-1,PORQUE REQUERIA PRESENTAR DOCUMENTACIÓN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,2,2,2,2,-1,2,-1,2,-1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,1,2,2,2,1,1,3,-1,-1,-1,-1,-1,-1,3,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,3,2,-1,-1,-1,-1,-1,-1,5,3,3,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,1
